127.0.0.1 - - [15/Mar/2022:16:18:26 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:13:20 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:13:28 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:13:29 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:13:36 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:13:56 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:16:39 -0700] "GET /alstrom-ers-revature/signUp2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:17:06 -0700] "GET /alstrom-ers-revature/index.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:17:26 -0700] "GET /alstrom-ers-revature/SignUpPageController?username=linnaa253&password=ssssssss&confirmpassword=ssssssss&firstName=Lina&lastName=Yang HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:17:49 -0700] "POST /alstrom-ers-revature/LogIn2Controller HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:18:11 -0700] "GET /alstrom-ers-revature/DisplayUserDetails.jsp HTTP/1.1" 500 3283
